transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet,is_anomaly_montant,is_anomaly_score,is_anomaly,year,month,quarter,weekday,montant_eur_verifie,ecart_montant_eur,categorie_risque,credit,debit,nb_transactions,montant_moyen,nb_produits_distincts,total_credit,total_debit,solde_net,taux_rejet
TXN000559,CLI0060,2022-04-19 02:31:00,2050.42,EUR,1.0,2050.42,Depot especes,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,645.0,Premium,16415.1,,False,False,False,2022.0,4.0,2022Q2,Tuesday,2050.42,0.0,Medium,2050.42,0.0,12,1200.8716666666667,7,18004.8,-3594.34,14410.46,0.0
TXN001154,CLI0057,2024-06-20 20:51:00,-123.66,GBP,0.86,-143.79,Retrait DAB,Credit Consommation,nan,Debit,Rejete,435.0,Risque,42890.81,,False,False,False,2024.0,6.0,2024Q2,Thursday,-143.7906976744186,0.0006976744186033557,High,0.0,-123.66,9,-379.13666666666666,7,1791.7399999999998,-5203.97,-3412.2300000000005,0.0
TXN000764,CLI0015,2024-08-28 05:03:00,-396.17,EUR,1.0,-396.17,Prelevement,PEA,Lyon-Part-Dieu,Debit,Complete,648.0,Standard,48489.38,,False,False,False,2024.0,8.0,2024Q3,Wednesday,-396.17,0.0,Medium,0.0,-396.17,11,-300.23181818181814,5,3752.75,-7055.3,-3302.55,0.0
TXN001598,CLI0045,2024-01-07 08:16:00,225.2,EUR,1.0,225.2,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,704.0,Standard,43962.51,,False,False,False,2024.0,1.0,2024Q1,Sunday,225.2,0.0,Low,225.2,0.0,17,-630.9223529411764,7,6754.81,-17480.489999999998,-10725.679999999997,0.0
TXN001873,CLI0034,2024-08-11 19:52:00,935.32,EUR,1.0,935.32,Interets,Credit Immobilier,Bordeaux-Meriadeck,Credit,Complete,457.0,Risque,17312.83,,False,False,False,2024.0,8.0,2024Q3,Sunday,935.32,0.0,High,935.32,0.0,13,26.430769230769222,6,5899.91,-5556.31,343.59999999999945,0.0
TXN001864,CLI0061,2024-04-28 23:08:00,-256.73,CHF,0.97,-264.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Debit,Rejete,341.0,Risque,29211.28,,False,False,False,2024.0,4.0,2024Q2,Sunday,-264.6701030927835,0.00010309278349041051,High,0.0,-256.73,13,103.00000000000007,6,13005.45,-11666.449999999999,1339.0000000000018,0.0
TXN000931,CLI0118,2023-09-13 12:04:00,2752.67,EUR,1.0,2752.67,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Rejete,641.0,Standard,30331.51,,False,False,False,2023.0,9.0,2023Q3,Wednesday,2752.67,0.0,Medium,2752.67,0.0,13,1009.7253846153847,7,20363.32,-7236.89,13126.43,0.0
TXN000620,CLI0005,,1962.49,EUR,1.0,1962.49,Remboursement credit,Livret A,Lille-Grand-Place,Credit,Complete,694.0,Standard,46954.33,,False,False,False,,,NaT,,1962.49,0.0,Medium,1962.49,0.0,9,-708.2766666666666,6,3442.41,-9816.9,-6374.49,0.0
TXN000581,CLI0064,2022-10-24 11:30:00,363.52,GBP,0.86,422.7,Paiement CB,Compte Courant,Lille-Grand-Place,Credit,Complete,800.0,Premium,45270.95,,False,False,False,2022.0,10.0,2022Q4,Monday,422.69767441860466,0.002325581395325571,Low,363.52,0.0,16,-282.826875,6,6827.18,-11352.41,-4525.23,0.0
TXN000726,CLI0085,2022-04-21 21:15:00,6451.32,EUR,1.0,6451.32,Virement international,Credit Consommation,Toulouse-Capitole,Credit,Complete,390.0,Risque,19136.15,,True,False,True,2022.0,4.0,2022Q2,Thursday,6451.32,0.0,High,6451.32,0.0,16,-724.453125,8,9618.88,-21210.129999999997,-11591.249999999998,0.0
